Mot;Autre forme;Definition;Nature du mot;Francais;Anglais;;
Ntswi?nk??n (1/6);;;L?n;Messager;;;
Mfi? (1/6);;;L?n;Mesure;;;
N?? fi?i (V);;;Mba?ncob?;Mesurer;;;
N??ka?? (1);;;L?n;Me?tamorphose;;;
N?fe?l? (1);;;L?n;Me?tamorphose;;;
N?? ka?? (V);;;Mba?ncob?;Me?tamorphoser;;;
N?? f??l? (V);;;Mba?ncob?;Me?tamorphoser;;;
Ma? (1/6);;;L?n;Me?tre;;;
N?? yàb? (V);;;Mba?ncob?;Me?ttre;;;
N?? tà t? (V);;;Mba?ncob?;Mettre debout;;;
Lo??k?à? (5/4);;;L?n;Meule;;;
Lo??bàn (3/4);;;L?n;Meule (moulin);;;
N?? zwim??n (1/6);;;L?n;Meurtre (commettre);;;
Nga?zwim??n (1/6);;;L?n;Meurtrier;;;
Ngaf??dt??l?m (1/6);;;L?n;Meurtrier;;;
Njà?gnya?m (adv);;;;Midi;;;
Nd???wa?a (3/6);;;L?n;Miel;;;
Nsa (3);;;L?n;Mil;;;
N??t??d (pre?p);;;;Milieu;;;
T??d (pre?p);;;;Milieu;;;
D?? (3/6);;;L?n;Milieu;;;
Nca? (adj);;;;Mille;;;
Nca?mb?m (adj);;;;Mille (monnaie);;;
Ca??t??dtsw?? (adv);;;;Minuit;;;
F??nyam (1/6);;;L?n;Minute;;;
Nsà (1/6);;;L?n;Miracle;;;
Nu?nsà (3/6);;;L?n;Miraculeux;;;
Ju?nsà (3/6);;;L?n;Miraculeux;;;
N?? y?nt? s? (V);;;Mba?ncob?;Mirer (se);;;
Y?nt??s? (1/6);;;L?n;Mirioir ;;;
Ng?? (1/6);;;L?n;Mise?re;;;
Ko?nd??n (3/4);;;L?n;Mise?ricordieux;;;
Ngakond??n (1/6);;;L?n;Mise?ricordieux;;;
Càmmbwo? (1/6);;;L?n;Moelle;;;
Nzidvog? (5/4);;;L?n;Moi;;;
M?? (pron);;;;Moindre;;;
Metsid (adj);;;;Moindre;;;
M?tsill (adv);;;;Mois;;;
?w? (1/6);;;L?n;Moisir;;;
N? fa?m? (V);;;Mba?ncob?;Moisissure;;;
Mfam (4);;;L?n;Moisson;;;
Nco??cu (1/6);;;L?n;Moissonner;;;
N?? co?cu (V);;;Mba?ncob?;Moissonneur;;;
Ba?g (3/4);;;L?n;Moitie?;;;
Ba?gk?d (3/4);;;L?n;Moite?;;;
Ka?m (3/4);;;L?n;Motie?;;;
Kamk??d (3/4) ;;;L?n;Motie?;;;
Ta??k?d (3/4);;;L?n;Moitie?;;;
Nja?mku? (1/4);;;L?n;Mollet;;;
F??nt??ng?? (1);;;L?n;Monarchie;;;
Nj? (1);;;L?n;Monde;;;
Nj??nsica?a (1);;;L?n;Monde;;;
Nsica?a (1);;;L?n;Monde;;;
Nj??s??nni? (1);;;L?n;Monde(aujourd?hui);;;
Bwo??b??nnt??n (6);;;L?n;Monde (foule);;;
Nj??m??kel? (1);;;L?n;Monde (moderne);;;
Tà;;;L?n;Monsieur;;;
Ko?nga? (1/6);;;L?n;Mont;;;
Mbal? (3/6);;;L?n;Montagne;;;
N?? ko?o (V);;;Mba?ncob?;Monter;;;
Nya?m (1/6);;;L?n;Montre;;;
N?? la??t?? (V);;;Mba?ncob?;Montrer;;;
N?? tswi? (V);;;Mba?ncob?;Montrer ;;;
Ju???ko?o (1/6);;;L?n;Monture;;;
N?? cà?bncu? (V);;;Mba?ncob?;Moquer (se);;;
N?? tu m??n (V);;;Mba?ncob?;Moquer (se);;;
Cà?bncu? (1);;;L?n;Moquerie;;;
Nga?cà?bncu? (1/6);;;L?n;Moqueur;;;
Ncà?bncu? (1/6);;;L?n;Moqueur;;;
Ka?m (3/4);;;L?n;Morceau;;;
K?? ;;;L?n;Morceau;;;
Ta??k?d;;;L?n;Morceau;;;
M?k??;;;L?n;Morceau (petit);;;
N?? cog? (V);;;Mba?ncob?;Mordre;;;
T?nncu? (3/4);;;L?n;Mors;;;
N??kw? (adj);;;;Mort;;;
V? (5);;;L?n;Mort (la);;;
V?kob (5);;;L?n;Mort (la);;;
F??m??n (3/6);;;L?n;Mort (un);;;
V??fa? (5);;;L?n;Mort accidentel;;;
Mbàgmbà?gwv? (5);;;L?n;Mort subite;;;
L??nts?làg (adj);;;;Morveux;;;
Tu?nu? (3/4);;;L?n;Motif;;;
Tu?ju (3/6) ;;;L?n;Motif;;;
Mag (1/6);;;L?n;Motif ;;;
Nz??nz?? (1/6);;;L?n;Mouche;;;
N?? gho??o;;;Mba?ncob?;Moudre;;;
Ngo?bàn (1/6);;;L?n;Moulin;;;
N?? kw? (V);;;Mba?ncob?;Mourir;;;
N?? kw?t? (V);;;Mba?ncob?;Mourir nombreux;;;
Mv??dmv??d (1/6);;;L?n;Moustique;;;
Nj??mbw? (1/6);;;L?n;Mouton;;;
Mba?bwwud (1/6);;;L?n;Muscle;;;
K??cob (adj) (1/6);;;L?n;Muet;;;
Ku?mba?? (3/6);;;L?n;Ma‡on;;;
N??ba? (adj);;;;Murrir;;;
N??tsw? (adj);;;;Mu?r;;;
N??s?n? (adj);;;;Noisir ;;;
N?? ba? (adj);;;;Mu?r;;;
N?? tsw? (adj);;;;Mu?rir;;;
N?? s?n? (adj);;;;Noisir ;;;
N?? cobt? tu?mt? (V);;;Mba?ncob?;Mu?rir;;;
N?? yw?dt? tu?nt? (V);;;Mba?ncob?;Murmurer;;;
N?? ko?t?? (V);;;Mba?ncob?;Murmurer;;;
